"Property Name",,"es","Node Path","Description"
"NullValuePrompt","Text to search...","Text to search...","ActionDesign\Actions\FullTextSearch",
"ToolTip","Filter records by text","Filtro objetos de texto","ActionDesign\Actions\FullTextSearch",
"Caption","Filter","Filtro","ActionDesign\Actions\SetFilter",
"Caption","Unlink","Desvincular","ActionDesign\Actions\Unlink",
"ConfirmationMessage","You are about to unlink the selected record(s). Do you want to proceed?","Estás a punto de desvincular el registro seleccionado (s). ¿Desea continuar?","ActionDesign\Actions\Unlink",
"Caption","Link","Enlazar","ActionDesign\Actions\Link",
"Caption","Open","Abierto","ActionDesign\Actions\ListViewShowObject",
"Caption","Log Off","Cerrar sesión","ActionDesign\Actions\Logoff",
"Caption","New","Nuevo","ActionDesign\Actions\New",
"Caption","The edited object is new.","El objeto ha editado es nuevo.","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","Objeto Anterior","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","Siguiente objeto","ActionDesign\Actions\NextObject",
"Caption","Refresh","Actualizar","ActionDesign\Actions\Refresh",
"Caption","Navigation","Navegación","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","View Info","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","Volver","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","Vaya a la vista anterior","ActionDesign\Actions\NavigateBack",
"Caption","Forward","Siguiente","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","Vaya a la siguiente vista","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","Requiere al menos un objeto seleccionado","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","Requiere un solo objeto seleccionado","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","Permiso denegado","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","Criterios de Proveedores","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","Filtrado tipo de objetos","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","Filtro de cadena","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","Acerca de Información","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","Nombre del producto","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","Versión","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Derecho de Autor","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","Empresa","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","Nombre de Imagen del Logo","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","Descripción","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
"Caption","Action Container","Contenedor de Acción","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem",
"Caption","Action Container","Contenedor de Acción","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainer",
"Caption","Action Containers","Action Containers","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainers",
"Caption","Action Container Descriptor","Descripción de Contenedor de Acción","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor",
"Caption","Action Container Id","Acción de contenedores Id","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor\OwnMembers\ActionContainerId",
"Caption","Dashboard Creation Wizard","Asistente para la creación de paneles","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo",
"Caption","Name","Nombre","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\DashboardName",
"Caption","Target Navigation Group","Crear un elemento de navegación en","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\NavigationGroupName",
"Caption","View Items","View Items","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\ViewItems",
"Caption","Dashboard Organization Item","Tablero de instrumentos del artículo Organización","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem",
"Caption","Id","Id","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Id",
"Caption","Item","Item","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Item",
"Caption","Visibility","Visibility","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Visibility",
"Caption","Dashboard Organizer","Tablero de instrumentos Organizador","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer",
"Caption","View Items","Ver Items","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer\OwnMembers\ViewItems",
"Caption","Dashboard View Item Descriptor","Ver panel del artículo descriptor","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor",
"Caption","View Caption","Ver Leyenda","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewCaption",
"Caption","View Id","Ver Id","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewId",
"Caption","View Description","Ver Descripción","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewDescription",
"Caption","Model View","Model View","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ModelView",
"Caption","Diagnostic Info Object","Diagnóstico de objetos de información","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject",
"Caption","As Text","Como texto","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject\OwnMembers\AsText",
"Caption","Static Image","Imagen estática","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem",
"Caption","Image Name","Nombre de la imagen","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\ImageName",
"Caption","Preview","Vista Previa","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\Preview",
"Caption","Static Text","Texto estático","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem",
"Caption","Text","Texto","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem\OwnMembers\Text",
"Caption","View","Ver","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem",
"Caption","Available Views","Available Views","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\AvailableViews",
"Caption","Object Type","Tipo de objeto","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ObjectType",
"Caption","View","Ver","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ViewDescriptor",
"Caption","Criteria","Criterios","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\Criteria",
"Caption","Actions Toolbar Visibility","Actions Toolbar Visibility","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Value","DashboardView","DashboardView","Localization\Captions\DashboardView",
"Value","DetailView","DetailView","Localization\Captions\DetailView",
"Value","(Child Window)","(Child Window)","Localization\Captions\DiagnosticChildWindowAddition",
"Value","Edit Criteria","Edit Criteria","Localization\Captions\EditCriteria",
"Value","ListView","ListView","Localization\Captions\ListView",
"Value","View","View","Localization\Captions\View",
"Value","Application server was started using Remoting.","Application server was started using Remoting.","Localization\Controls\ServerLog\ApplicationServerStartedRemoting",
"Value","Application server was started using WCF.","Application server was started using WCF.","Localization\Controls\ServerLog\ApplicationServerStartedWcf",
"Value","Application server was stopped.","Application server was stopped.","Localization\Controls\ServerLog\AppServerStopped",
"Value","Cannot find method '{0}.{1}' while executing a function on the server.","Cannot find method '{0}.{1}' while executing a function on the server.","Localization\Controls\ServerLog\CannotFindMethod",
"Value","Cannot find type '{0}'.","Cannot find type '{0}'.","Localization\Controls\ServerLog\CannotFindType",
"Value","Client info: Id={0}; {1}","Client info: Id={0}; {1}","Localization\Controls\ServerLog\ClientInfoTemplate",
"Value","Dictionary: ","Dictionary: ","Localization\Controls\ServerLog\Dictionary",
"Value","Category: {0}\r\nCode: {1}\r\nText: {2}.","Category: {0}\r\nCode: {1}\r\nText: {2}.","Localization\Controls\ServerLog\EmailBodyTemplate",
"Value","Execution of function '{0}' was successfully finished.","Execution of function '{0}' was successfully finished.","Localization\Controls\ServerLog\FunctionExecutionFinished",
"Value","Execution of function '{0}' was started.","Execution of function '{0}' was started.","Localization\Controls\ServerLog\FunctionExecutionStarted",
"Value","Attempt to call a function with incorrect syntax.\r\nCommand: {0}.","Attempt to call a function with incorrect syntax.\r\nCommand: {0}.","Localization\Controls\ServerLog\FunctionIncorrectSyntax",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response is empty.","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response is empty.","Localization\Controls\ServerLog\GetModuleEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Response is empty.","Call to CheckCompatibilityService for module list. Response is empty.","Localization\Controls\ServerLog\GetModulesEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Modules have been successfully obtained.","Call to CheckCompatibilityService for module list. Modules have been successfully obtained.","Localization\Controls\ServerLog\GetModulesSuccess",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response: {1}.","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response: {1}.","Localization\Controls\ServerLog\GetModuleSuccess",
"Value","Invalid arguments list for function: '{0}.{1}'.  Cannot find the following parameters: ","Invalid arguments list for function: '{0}.{1}'.  Cannot find the following parameters: ","Localization\Controls\ServerLog\InvalidArgumentsList",
"Value","Module info:\r\n Name: {0};\r\nVersion: {1};\r\nIsMain: {2};\r\nAssembly file name: {3};","Module info:\r\n Name: {0};\r\nVersion: {1};\r\nIsMain: {2};\r\nAssembly file name: {3};","Localization\Controls\ServerLog\ModuleInfoText",
"Value","Object: ","Object: ","Localization\Controls\ServerLog\Object",
"Value","Objects: ","Objects: ","Localization\Controls\ServerLog\Objects",
"Value","Objects for delete:","Objects for delete:","Localization\Controls\ServerLog\ObjectsForDelete",
"Value","Objects for save:","Objects for save:","Localization\Controls\ServerLog\ObjectsForSave",
"Value","Object types: ","Object types: ","Localization\Controls\ServerLog\ObjectTypes",
"Value","Operation {0} was completed successfully.\r\nUserId: {1}. UserName {2}.","Operation {0} was completed successfully.\r\nUserId: {1}. UserName {2}.","Localization\Controls\ServerLog\OperationCompleted",
"Value","Operation {0} was failed.\r\n{1}","Operation {0} was failed.\r\n{1}","Localization\Controls\ServerLog\OperationFailed",
"Value","Operation {0} call has been received.","Operation {0} call has been received.","Localization\Controls\ServerLog\OperationRequest",
"Value","Operation Result: {0}","Operation Result: {0}","Localization\Controls\ServerLog\OperationResultTemplate",
"Value","Owner object:","Owner object:","Localization\Controls\ServerLog\OwnerObject",
"Value","Properties: ","Properties: ","Localization\Controls\ServerLog\Properties",
"Value","Property: ","Property: ","Localization\Controls\ServerLog\Property",
"Value","RefPropertyName: ","RefPropertyName: ","Localization\Controls\ServerLog\RefPropertyName",
"Value","Connection string for scheme '{0}' is not supported.","Connection string for scheme '{0}' is not supported.","Localization\Controls\ServerLog\SchemeIsNotSupported",
"Value","Starting the Application Server.","Starting the Application Server.","Localization\Controls\ServerLog\StartingAppServer",
"Value","ActionContainer","ActionContainer","Localization\DashboardOrganizationItems\ActionContainer",
"Value","Image","Imagen","Localization\DashboardOrganizationItems\StaticImage",
"Value","Text","Texto","Localization\DashboardOrganizationItems\StaticText",
"Value","&Abort","&Abortar","Localization\DialogButtons\Abort",
"Value","Add","Agregar","Localization\DialogButtons\Add",
"Value","Apply","Aplicar","Localization\DialogButtons\Apply",
"Value","< Back","<Volver","Localization\DialogButtons\Back",
"Value","&Cancel","&Cancelar","Localization\DialogButtons\Cancel",
"Value","C&lear","&Limpiar","Localization\DialogButtons\Clear",
"Value","Close","Cerrar","Localization\DialogButtons\Close",
"Value","Find","Buscar","Localization\DialogButtons\Find",
"Value","&Ignore","&Ignorar","Localization\DialogButtons\Ignore",
"Value","Next >","Siguiente>","Localization\DialogButtons\Next",
"Value","&No","&No","Localization\DialogButtons\No",
"Value","&OK","&OK","Localization\DialogButtons\OK",
"Value","Remove","Quitar","Localization\DialogButtons\Remove",
"Value","&Retry","&Reintentar","Localization\DialogButtons\Retry",
"Value","&Yes","&Si","Localization\DialogButtons\Yes",
"Value","View Item Visibility","View Item Visibility","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","Show empty space","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,,"Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"Ocultos","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,,"Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","Actions Toolbar Visibility","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","Default","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","Hide","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","Show","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","No se puede crear una acción para el método {0} de la clase {1}. método de acción no deben ser genéricos","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","No se puede crear una acción para el método {0} de la clase {1}. método de acción deben ser parámetros","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","El ObjectSpace ya ha sido asignado a otro punto de vista la raíz: '{0}'. Este error se produce sólo cuando intenta asignar una ObjectSpace que ya es utilizada por una raíz Ver a otro punto de vista de la raíz. Por ejemplo, puede recibir este error cuando se utiliza el XafApplication.CreateDetailView / métodos CreateListView en un ViewController y pasando el objeto View.ObjectSpace como parámetro a estos métodos cuando la propiedad View.IsRoot es cierto.\r\nPara evitar este error es suficiente para aprobar una nueva instancia de ObjectSpace creado a través del método XafApplication.CreateObjectSpace en estos métodos, o crear vistas no root pasando un parámetro correspondiente a estos métodos.\r\nSi esto no ayuda, por favor contacte con nuestro equipo de apoyo en http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","Ha ocurrido un error al cargar el modelo. Fuente: '{0}'","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","Se produce un error al procesar un acceso directo: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","Ha ocurrido un error, el contexto: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","Un objeto que no se guardó no se puede mostrar","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","La aplicación no se inicia","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","La aplicación no puede ser actualizado debido a que el '{1}' asamblea no existe en el '{0}' carpeta.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","No se puede ejecutar la aplicación. La versión de base de datos es más reciente que la versión de la aplicación, pero el servidor con la versión nueva aplicación no se encuentra. Pida al administrador para comprobar que el archivo de configuración contiene la ruta correcta de la versión nueva aplicación.","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","Modificación de Atributo ha fallado","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","Atributo '{0}' debe comenzar con el '@' símbolo: '{1}'","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","El updatingReadOnlyDataStore.AutoCreateOption es {0}","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Usted no puede acceder a la propiedad de colección ya que el origen de la colección se inicializa ahora. Este error puede ocurrir, por ejemplo, cuando intenta tener acceso a la propiedad de colección en el método OnActivated de un ViewController. Para evitar este error es necesario para acceder a la propiedad de colección en un momento posterior, cuando el origen de la colección ya se ha inicializado. La mejor manera de hacer esto es para controlar el evento CollectionChanged. Por favor, consulte la documentación del producto para obtener información más detallada sobre estas clases y métodos. Si esto no ayuda, por favor contacte con nuestro equipo de apoyo en http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
"Value","Can't add the '{0}' collection","No se puede agregar la '{0}' colección","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","No se puede agregar duplicado editor de propiedades: '{0}'","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","No se puede agregar a singleton vacío. Crear una nueva instancia de la colección","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","No se puede crear el punto de detalle apropiado para la '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","No se puede crear editor de propiedades adecuadas para la '{0}.{1}' propiedad","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","No se puede cambiar de esquema para el atributo","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","No se puede crear una plantilla por su nombre: '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","No se puede encontrar ListView con ID = '{0}'","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","Cannot find the '{0}' member within the '{1}' class","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","No se puede encontrar el '{0}' propiedad dentro de la '{1}' clase","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","No se puede generar el contenido: la 'ClassName' atributo está vacío","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","No se puede obtener el objeto de edición","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","No se puede procesar la URL solicitada","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","No se puede procesar la URL solicitada, el '{0}' elemento de acción no se encontró","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","No se puede leer diccionario de '{0}' recursos de la '{1}' asamblea","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","No se puede establecer por el EditValue '{0}' texto, los valores disponibles:\r\n{1}","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","No se puede establecer por el EditValue '{0}' texto, la lista está vacía","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","No se puede mostrar el punto de vista, el contexto desconocido: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","No se puede mostrar el punto de vista, es desconocida: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","Clase '{0}' no implementa la interfaz '{1}'","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
"Value","The database version is greater than the application version. The application needs to be updated. Please contact your system administrator or download a new version.\r\nAdditional information: the local version {0} of module '{1}' is smaller than version {2} in the database.","La versión de base de datos es mayor que la versión de la aplicación. La aplicación debe ser actualizada. Póngase en contacto con el administrador del sistema o descargar una nueva versión.\r\nInformaciones complementarias: la versión local {0} del módulo '{1}' es más pequeño que la versión {2} en la base de datos.","Localization\Exceptions\SystemExceptions\CompatibilityApplicationIsOldError",
"Value","The database version is older than the application version. The database needs to be updated.","La base de datos es una versión anterior a la solicitud. La base de datos debe ser actualizada.","Localization\Exceptions\SystemExceptions\CompatibilityDatabaseIsOldError",
"Value","Config file '{0}' doesn't exists","Archivo de configuración '{0}' no existe","Localization\Exceptions\SystemExceptions\ConfigFileDoesNotExists",
"Value","The 'add\[@key=""Modules""]' node should contain module list, config file '{0}'","La 'add\[@key=""Modules""]' nodo debe contener lista de módulos, el archivo de configuración '{0}'","Localization\Exceptions\SystemExceptions\ConfigFileHasNoModuleNames",
"Value","Unable to set '{0}' property. Current object is not set","No se puede establecer '{0}' la propiedad. objeto actual no se establece","Localization\Exceptions\SystemExceptions\CurrentObjectIsNotSet",
"Value","To avoid this error it's necessary to assign the CustomizePopupWindowParamsEventArgs.View property when handling the CustomizePopupWindowParams event. To accomplish this, create a View using the XafApplication.CreateDetailView/CreateListView methods. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Para evitar este error que es necesario asignar la propiedad CustomizePopupWindowParamsEventArgs.View al controlar el evento CustomizePopupWindowParams. Para lograr esto, crear una vista usando el XafApplication.CreateDetailView / métodos CreateListView. Por favor, consulte la documentación del producto para obtener información más detallada sobre estas clases y métodos. Si esto no ayuda, por favor contacte con nuestro equipo de apoyo en http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CustomizePopupWindowParamsEventArgsViewIsNull",
"Value","A dataLayer already exists: '{0}'","Un DataLayer ya existe: '{0}'","Localization\Exceptions\SystemExceptions\DataLayerAlreadyExists",
"Value","Dictionary path item parsing failed. There is a syntax error in expression '{0}'","ruta Diccionario analizar el tema no. Hay un error de sintaxis en la expresión '{0}'","Localization\Exceptions\SystemExceptions\DictionaryPathItemParsingFailed",
"Value","Dictionary path parsing failed. There is a syntax error in expression '{0}'","análisis Diccionario camino fracasado. Hay un error de sintaxis en la expresión '{0}'","Localization\Exceptions\SystemExceptions\DictionaryPathParsingFailed",
"Value","Duplicate Component Identifier '{0}'","Identificador de componentes duplicados '{0}'","Localization\Exceptions\SystemExceptions\DuplicateComponentIdentifier",
"Value","Error occurs while adding the '{2}' custom property ('{0}' property type) to the '{1}' type: '{3}'","Error se produce al tiempo que añade la '{2}' propiedad personalizada ('{0}' tipo de propiedad) a la '{1}' tipo: '{3}'","Localization\Exceptions\SystemExceptions\ErrorOccursWhileAddingTheCustomProperty",
"Value","The following error occurred:","Ocurrió el siguiente error:","Localization\Exceptions\SystemExceptions\ExceptionDialogLabel",
"Value","Column '{0}' does not exist in grid","Columna '{0}' no existe en la red","Localization\Exceptions\SystemExceptions\GridColumnDoesNotExist",
