"Property Name",,"ja","Node Path","Description"
"Caption","The edited object is new.","新しいオブジェクトが編集されました。","ActionDesign\Actions\New\DisableReasons\MasterObjectIsNew",
"Caption","Previous Record","前のオブジェクト","ActionDesign\Actions\PreviousObject",
"Caption","Next Record","次のオブジェクト","ActionDesign\Actions\NextObject",
"Caption","Refresh","更新","ActionDesign\Actions\Refresh",
"Caption","Navigation","ナビゲーション","ActionDesign\Actions\ShowNavigationItem",
"Caption","View Info","表示情報","ActionDesign\Actions\Diagnostic Info.View Info\ChoiceActionItems\View Info",
"Caption","Back","前へ","ActionDesign\Actions\NavigateBack",
"ToolTip","Navigate to the previous view","前のビューへ移動","ActionDesign\Actions\NavigateBack",
"Caption","Forward","次へ","ActionDesign\Actions\NavigateForward",
"ToolTip","Navigate to the next view","次のビューへ移動","ActionDesign\Actions\NavigateForward",
"Caption","Requires at least one object selected","1つ以上のオブジェクトの選択が必要です。","ActionDesign\DisableReasons\ByContext_RequireMultipleObjects",
"Caption","Requires a single object selected","1つのオブジェクトの選択が必要です。","ActionDesign\DisableReasons\ByContext_RequireSingleObject",
"Caption","Permission denied","アクセス許可は拒否されました。","ActionDesign\DisableReasons\Security",
"Caption","Criteria Provider","基準プロバイダ","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider",
"Caption","Filtered Objects Type","フィルターされたオブジェクト タイプ","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilteredObjectsType",
"Caption","Filter String","フィルター文字列","BOModel\DevExpress.ExpressApp.Editors.CriteriaProvider\OwnMembers\FilterString",
"Caption","About Info","アプリケーションについて","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo",
"Caption","Product Name","製品名","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\ProductName",
"Caption","Version","バージョン","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Version",
"Caption","Copyright","Copyright","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Copyright",
"Caption","Company","会社名","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Company",
"Caption","Logo Image Name","ロゴ画像名","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\LogoImageName",
"Caption","Description","説明","BOModel\DevExpress.ExpressApp.SystemModule.AboutInfo\OwnMembers\Description",
"Caption","Action Container","操作コンテナ","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem",
"Caption","Action Container","操作コンテナ","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainer",
"Caption","Action Containers","操作コンテナ","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDashboardOrganizationItem\OwnMembers\ActionContainers",
"Caption","Action Container Descriptor","操作コンテナ記述子","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor",
"Caption","Action Container Id","操作コンテナ ID","BOModel\DevExpress.ExpressApp.SystemModule.ActionContainerDescriptor\OwnMembers\ActionContainerId",
"Caption","Dashboard Creation Wizard","ダッシュボード作成ウィザード","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo",
"Caption","Name","名前","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\DashboardName",
"Caption","Target Navigation Group","ナビゲーション アイテムを作成","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\NavigationGroupName",
"Caption","View Items","アイテムの表示","BOModel\DevExpress.ExpressApp.SystemModule.DashboardCreationInfo\OwnMembers\ViewItems",
"Caption","Dashboard Organization Item","ダッシュボード整理アイテム","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem",
"Caption","Id","ID","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Id",
"Caption","Item","アイテム","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Item",
"Caption","Visibility","表示の有無","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizationItem\OwnMembers\Visibility",
"Caption","Dashboard Organizer","ダッシュボード オーガナイザー","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer",
"Caption","View Items","アイテムの表示","BOModel\DevExpress.ExpressApp.SystemModule.DashboardOrganizer\OwnMembers\ViewItems",
"Caption","Dashboard View Item Descriptor","ダッシュボード ビュー アイテム記述子","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor",
"Caption","View Caption","キャプションの表示","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewCaption",
"Caption","View Id","ID の表示","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewId",
"Caption","View Description","説明の表示","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ViewDescription",
"Caption","Model View","モデル ビュー","BOModel\DevExpress.ExpressApp.SystemModule.DashboardViewItemDescriptor\OwnMembers\ModelView",
"Caption","Diagnostic Info Object","診断情報オブジェクト","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject",
"Caption","As Text","テキストとして表示","BOModel\DevExpress.ExpressApp.SystemModule.DiagnosticInfoObject\OwnMembers\AsText",
"Caption","Static Image","静止画","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem",
"Caption","Image Name","画像名","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\ImageName",
"Caption","Preview","プレビュー","BOModel\DevExpress.ExpressApp.SystemModule.StaticImageDashboardOrganizationItem\OwnMembers\Preview",
"Caption","Static Text","静的なテキスト","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem",
"Caption","Text","テキスト","BOModel\DevExpress.ExpressApp.SystemModule.StaticTextDashboardOrganizationItem\OwnMembers\Text",
"Caption","View","表示","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem",
"Caption","Available Views","使用可能なビュー","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\AvailableViews",
"Caption","Object Type","オブジェクト タイプ","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ObjectType",
"Caption","View","表示","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ViewDescriptor",
"Caption","Criteria","基準","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\Criteria",
"Caption","Actions Toolbar Visibility","操作ツールバーの表示","BOModel\DevExpress.ExpressApp.SystemModule.ViewDashboardOrganizationItem\OwnMembers\ActionsToolbarVisibility",
"Value","DashboardView","ダッシュボード ビュー","Localization\Captions\DashboardView",
"Value","DetailView","詳細ビュー","Localization\Captions\DetailView",
"Value","(Child Window)","(子ウィンドウ)","Localization\Captions\DiagnosticChildWindowAddition",
"Value","Edit Criteria","基準を編集","Localization\Captions\EditCriteria",
"Value","ListView","リスト ビュー","Localization\Captions\ListView",
"Value","View","ビュー","Localization\Captions\View",
"Value","Application server was started using Remoting.","リモーティングを使ってアプリケーション サーバーを開始しました。","Localization\Controls\ServerLog\ApplicationServerStartedRemoting",
"Value","Application server was started using WCF.","WCF を使ってアプリケーション サーバーを開始しました。","Localization\Controls\ServerLog\ApplicationServerStartedWcf",
"Value","Application server was stopped.","アプリケーション サーバーが停止しました。","Localization\Controls\ServerLog\AppServerStopped",
"Value","Cannot find method '{0}.{1}' while executing a function on the server.","サーバー上で関数を実行する際に、メソッド {0}.{1} が見つかりません。","Localization\Controls\ServerLog\CannotFindMethod",
"Value","Cannot find type '{0}'.","タイプ {0} が見つかりません。","Localization\Controls\ServerLog\CannotFindType",
"Value","Client info: Id={0}; {1}","クライアント情報: Id={0}; {1}","Localization\Controls\ServerLog\ClientInfoTemplate",
"Value","Dictionary: ","辞書:","Localization\Controls\ServerLog\Dictionary",
"Value","Category: {0}\r\nCode: {1}\r\nText: {2}.","カテゴリ: {0}\r\nコード: {1}\r\nテキスト: {2}.","Localization\Controls\ServerLog\EmailBodyTemplate",
"Value","Execution of function '{0}' was successfully finished.","関数 {0} の実行が正常に完了しました。","Localization\Controls\ServerLog\FunctionExecutionFinished",
"Value","Execution of function '{0}' was started.","関数 {0} の実行を開始しました。","Localization\Controls\ServerLog\FunctionExecutionStarted",
"Value","Attempt to call a function with incorrect syntax.\r\nCommand: {0}.","正しくない構文を持つ関数の呼び出しを実行しようとしています。\r\nコマンド: {0}.","Localization\Controls\ServerLog\FunctionIncorrectSyntax",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response is empty.","モージュール情報（moduleName は '{0}'）のための CheckCompatibilityService への呼び出し。応答は空白です。","Localization\Controls\ServerLog\GetModuleEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Response is empty.","モジュール リストのための CheckCompatibilityService への呼び出し。応答は空白です。","Localization\Controls\ServerLog\GetModulesEmptyResult",
"Value","Call to CheckCompatibilityService for module list. Modules have been successfully obtained.","モジュール リストのための CheckCompatibilityService への呼び出し。モジュールを正常に取得できました。","Localization\Controls\ServerLog\GetModulesSuccess",
"Value","Call to CheckCompatibilityService for module info (moduleName is '{0}'). Response: {1}.","モジュール情報（moduleName は '{0}'） のための CheckCompatibilityService への呼び出し。応答: {1}.","Localization\Controls\ServerLog\GetModuleSuccess",
"Value","Invalid arguments list for function: '{0}.{1}'.  Cannot find the following parameters: ","関数の引数リストが正しくありません: {0}.{1} 次のパラメーターが見つかりません:","Localization\Controls\ServerLog\InvalidArgumentsList",
"Value","Module info:\r\n Name: {0};\r\nVersion: {1};\r\nIsMain: {2};\r\nAssembly file name: {3};","モジュール情報:\r\n 名前: {0};\r\nバージョン: {1};\r\nIsMain: {2};\r\nアセンブリ ファイル名: {3};","Localization\Controls\ServerLog\ModuleInfoText",
"Value","Object: ","オブジェクト:","Localization\Controls\ServerLog\Object",
"Value","Objects: ","オブジェクト:","Localization\Controls\ServerLog\Objects",
"Value","Objects for delete:","削除するオブジェクト:","Localization\Controls\ServerLog\ObjectsForDelete",
"Value","Objects for save:","保存するオブジェクト:","Localization\Controls\ServerLog\ObjectsForSave",
"Value","Object types: ","オブジェクト タイプ:","Localization\Controls\ServerLog\ObjectTypes",
"Value","Operation {0} was completed successfully.\r\nUserId: {1}. UserName {2}.","操作 {0} が正常に完了しました。","Localization\Controls\ServerLog\OperationCompleted",
"Value","Operation {0} was failed.\r\n{1}","操作 {0} が失敗しました。\r\n{1}
{1}","Localization\Controls\ServerLog\OperationFailed",
"Value","Operation {0} call has been received.","操作 {0} 呼び出しを受信しました。","Localization\Controls\ServerLog\OperationRequest",
"Value","Operation Result: {0}","操作の結果: {0}","Localization\Controls\ServerLog\OperationResultTemplate",
"Value","Owner object:","Owner オブジェクト:","Localization\Controls\ServerLog\OwnerObject",
"Value","Properties: ","プロパティ:","Localization\Controls\ServerLog\Properties",
"Value","Property: ","プロパティ:","Localization\Controls\ServerLog\Property",
"Value","RefPropertyName: ","RefPropertyName:","Localization\Controls\ServerLog\RefPropertyName",
"Value","Connection string for scheme '{0}' is not supported.","スキーム '{0}' の接続文字列はサポートされていません。","Localization\Controls\ServerLog\SchemeIsNotSupported",
"Value","Starting the Application Server.","アプリケーション サーバーを開始しています。","Localization\Controls\ServerLog\StartingAppServer",
"Value","ActionContainer","アクション コンテナ","Localization\DashboardOrganizationItems\ActionContainer",
"Value","Image","画像","Localization\DashboardOrganizationItems\StaticImage",
"Value","Text","テキスト","Localization\DashboardOrganizationItems\StaticText",
"Value","&Abort","中止(&A)","Localization\DialogButtons\Abort",
"Value","Add","追加","Localization\DialogButtons\Add",
"Value","Apply","適用","Localization\DialogButtons\Apply",
"Value","< Back","< 戻る","Localization\DialogButtons\Back",
"Value","&Cancel","キャンセル(&C)","Localization\DialogButtons\Cancel",
"Value","C&lear","クリア(&L)","Localization\DialogButtons\Clear",
"Value","Close","閉じる","Localization\DialogButtons\Close",
"Value","Find","検索","Localization\DialogButtons\Find",
"Value","&Ignore","無視(&I)","Localization\DialogButtons\Ignore",
"Value","Next >","次へ >","Localization\DialogButtons\Next",
"Value","&No","いいえ(&N)","Localization\DialogButtons\No",
"Value","&OK","OK(&O)","Localization\DialogButtons\OK",
"Value","Remove","削除","Localization\DialogButtons\Remove",
"Value","&Retry","再実行(&R)","Localization\DialogButtons\Retry",
"Value","&Yes","はい(&Y)","Localization\DialogButtons\Yes",
"Value","View Item Visibility","ビュー アイテムの表示","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility",
"Value","Hide","非表示","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Hide",
"Value","Show","表示","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\Show",
"Value","Show empty space","空スペースを表示","Localization\Enums\DevExpress.ExpressApp.Editors.ViewItemVisibility\ShowEmptySpace",
"Value",,"ダッシュボード アイテムの可視性","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility",
"Value",,"非表示","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Hidden",
"Value",,"表示","Localization\Enums\DevExpress.ExpressApp.SystemModule.DashboardItemVisibility\Visible",
"Value","Actions Toolbar Visibility","操作ツールバーの表示","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility",
"Value","Default","デフォルト","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Default",
"Value","Hide","非表示","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Hide",
"Value","Show","表示","Localization\Enums\DevExpress.ExpressApp.Templates.ActionsToolbarVisibility\Show",
"Value","Unable to create action for method {0} of class {1}. Action method should be non-generic","クラス {1} のメソッド {0} の操作を作成できません。操作メソッドは非ジェネリックでなければなりません。","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeNonGeneric",
"Value","Unable to create action for method {0} of class {1}. Action method should be parameterless","クラス {1} のメソッド {0} の操作を作成できません。操作メソッドはパラメーターを指定することはできません。","Localization\Exceptions\SystemExceptions\ActionMethodShouldBeParameterless",
"Value","The ObjectSpace has already been assigned to another root view: '{0}'. This error occurs only when you try to assign an ObjectSpace that is already used by a root View to another root view. For instance, you may receive this error when using the XafApplication.CreateDetailView/CreateListView methods in a ViewController and passing the View.ObjectSpace object as a parameter to these methods when the View.IsRoot property is true.\r\nTo avoid this error it's sufficient to pass a new ObjectSpace instance created via the XafApplication.CreateObjectSpace method in these methods, or create non-root Views by passing a corresponding parameter to these methods.\r\nIf this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","
ObjectSpace は既に別のルート ビューに割り当てられています:  '{0}'。ルート ビューで既に使用されている ObjectSpace を別のルート ビュー に割り当てようとする際に発生するエラーです。
例えば、View.IsRoot が True に設定されており、ViewController で XafApplication.CreateDetailView/CreateListView メソッドを使って View.ObjectSpace オブジェクトをパラメーターとして受け渡す時にエラーが発生する場合があります。\r\nこのエラーを避けるには、これらのメソッド内の XafApplication.CreateObjectSpace メソッドで作成された ObjectSpace インスタンスを受け渡すか、関連するパラメーターをこれらのメソッドに受け渡して非ルートのビューを作成します。\r\nそれでもこのエラーが解決されない場合は、DevExpress サポート チームへご連絡ください: http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\AlreadyUsedObjectSpace",
"Value","An error has occurred while loading the model. Source: '{0}'","モデルの読み込み中にエラーが発生しました。ソース: '{0}'","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileLoadingTheModel",
"Value","An error occurs while processing a shortcut: {0}","ショートカットの処理中にエラーが発生しました: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWhileProcessingAShortcut",
"Value","An error has occurred, context: {0}","エラーが発生しました。コンテキスト: {0}","Localization\Exceptions\SystemExceptions\AnErrorHasOccurredWithContext",
"Value","An unsaved object cannot be shown","保存されていないオブジェクトを表示できません。","Localization\Exceptions\SystemExceptions\AnUnsavedObjectCannotBeShown",
"Value","Application isn't started","アプリケーションが開始されていません。","Localization\Exceptions\SystemExceptions\ApplicationIsNotStarted",
"Value","The application cannot be updated because the '{1}' assembly doesn't exist in the '{0}' folder.","{0}' フォルダー内に '{1}' アセンブリが存在しないため、アプリケーションを更新できません。","Localization\Exceptions\SystemExceptions\ApplicationUpdaterAssemblyDoesNotExist",
"Value","Cannot run the application. The database version is newer than the application version, but the server with the new application version is not found. Ask the administrator to check that the configuration file contains a correct path to the new application version.","アプリケーションを実行できません。データベースのバージョンはアプリケーションのバージョンより新しいか、新しいアプリケーション バージョンのサーバーが見つかりません。設定ファイルに新アプリケーション バージョンへの正しいパスが含まれているのかを、システム管理者に確認してください。","Localization\Exceptions\SystemExceptions\ApplicationUpdaterDatabaseVersionIsNewer",
"Value","Attribute modifying failed","属性を変更できませんでした。","Localization\Exceptions\SystemExceptions\AttributeModifyingFailed",
"Value","Attribute '{0}' should start with the '@' symbol: '{1}'","
属性 '{0}' は '@' 記号で始まる必要があります: '{1}'","Localization\Exceptions\SystemExceptions\AttributeShouldStartWithSymbol",
"Value","The updatingReadOnlyDataStore.AutoCreateOption is {0}","updatingReadOnlyDataStore.AutoCreateOption は {0} です。","Localization\Exceptions\SystemExceptions\AutoCreateOptionIs",
"Value","You cannot access the Collection property because the Collection Source is being initialized now. This error may occur, for example, when you try to access the Collection property in the OnActivated method of a ViewController. To avoid this error it's necessary to access the Collection property at a later time, when the Collection Source is already initialized. The best way to do this is to handle the CollectionChanged event. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","Collection ソースが初期化されているため Collection プロパティへアクセスできません。例えば、ViewController の OnActivated メソッドでCollection プロパティへアクセスしようとする場合、このエラーが発生する場合があります。このエラーを回避するには、Collection ソースの初期化が完了するまで時間をおいて再度 Collection プロパティへアクセスしてください。そのためには、CollectionChanged イベントを処理することをお勧めします。これらのクラスやメソッドの詳細については製品のドキュメンテーションを参照するか、 DevExpress サポート チームへご連絡ください。http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CannotAccessCollectionCollectionSourceIsBeingIntialized",
"Value","Can't add the '{0}' collection","{0}' コレクションを追加できません。","Localization\Exceptions\SystemExceptions\CannotAddCollectionProperty",
"Value","Can't add duplicate property editor: '{0}'","重複プロパティ エディタを追加できません: '{0}'","Localization\Exceptions\SystemExceptions\CannotAddDuplicateProperty",
"Value","Can't add to Empty singleton. Create new instance of collection","空のシングルトンを追加できません。コレクションの新しいインスタンスを作成してください。","Localization\Exceptions\SystemExceptions\CannotAddToEmptySingleton",
"Value","Cannot create appropriate detail item for the '{0}'","{0}' の適切な詳細アイテムを作成できません。","Localization\Exceptions\SystemExceptions\CannotCreateAppropriateDetailItem",
"Value","Cannot create appropriate property editor for the '{0}.{1}' property","{0}.{1}' プロパティの適切なプロパティ エディタを作成できません。","Localization\Exceptions\SystemExceptions\CannotCreateAppropriatePropertyEditorForTheProperty",
"Value","Can't change schema for attribute","属性のスキーマを変更できません。","Localization\Exceptions\SystemExceptions\CannotCreateSchemaForAttribute",
"Value","Cannot create template by name: '{0}'","名前でテンプレートを作成できません: '{0}'","Localization\Exceptions\SystemExceptions\CannotCreateTemplateByName",
"Value","Cannot find a descendant of the XafApplication class to detect settings of your application in the following folder(s):
{0}
For a Windows Forms application, this folder(s) must contain your application executable file.
For an ASP.NET application, this folder(s) must contain the assembly continaing your WebApplication descendant.","以下のフォルダー内にアプリケーションの設定を検出する XafApplication クラスの子孫が見つかりません:
{0}
Windows Forms アプリケーションの場合、このフォルダーがアプリケーション実行ファイルを含む必要があります。ASP.NET アプリケーションの場合、WebApplication の子孫が入っているアセンブリを含む必要があります。","Localization\Exceptions\SystemExceptions\CannotFindDescendantOfXafApplicationClass",
"Value","Can't find ListView with ID='{0}'","ID='{0}' を持つ ListView が見つかりません。","Localization\Exceptions\SystemExceptions\CannotFindListViewWithId",
"Value","Cannot find the '{0}' member within the '{1}' class","{1}' クラス内に '{0}' メンバーが見つかりません。","Localization\Exceptions\SystemExceptions\CannotFindTheMemberWithinTheClass",
"Value","Cannot find the '{0}' property within the '{1}' class","{1}' クラス内に '{0}' プロパティが見つかりません。","Localization\Exceptions\SystemExceptions\CannotFindThePropertyWithinTheClass",
"Value","Cannot generate content: the 'ClassName' attribute is empty","内容を生成できません： 'ClassName' 属性が空です。","Localization\Exceptions\SystemExceptions\CannotGenerateContent",
"Value","Cannot obtain the editing object","編集オブジェクトを取得できません。","Localization\Exceptions\SystemExceptions\CannotObtainTheEditingObject",
"Value","Cannot process the requested url","要求されたURLを処理できません。","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrl",
"Value","Cannot process the requested url, the '{0}' action item was not found","要求されたURLを処理できません。'{0}' 操作アイテムは見つかりませんでした。","Localization\Exceptions\SystemExceptions\CannotProcessTheRequestedUrlActionItemWasNotFound",
"Value","Cannot read dictionary from '{0}' resource of the '{1}' assembly","{1}' アセンブリの '{0}' リソースから辞書を読み込めません。","Localization\Exceptions\SystemExceptions\CannotReadDictionaryFromResource",
"Value","Cannot set EditValue by the '{0}' text, available values:\r\n{1}","{0}' テキストで EditValue を設定できません。可能な値:\r\n{1}","Localization\Exceptions\SystemExceptions\CannotSetEditValueAvailableValues",
"Value","Cannot set EditValue by the '{0}' text, list is empty","{0}' テキストで EditValue を設定できません。リストは空です。","Localization\Exceptions\SystemExceptions\CannotSetEditValueListIsEmpty",
"Value","Cannot show view, unknown context: '{0}'","コンテキストが不明のため、ビューを表示できません: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownContext",
"Value","Cannot show view, unknown target: '{0}'","ターゲットが不明のため、ビューを表示できません: '{0}'","Localization\Exceptions\SystemExceptions\CannotShowViewUnknownTarget",
"Value","Class '{0}' doesn't implement interface '{1}'","クラス '{0}' はインターフェース '{1}' を実装しません。","Localization\Exceptions\SystemExceptions\ClassDoesntImplementInterface",
"Value","The database version is greater than the application version. The application needs to be updated. Please contact your system administrator or download a new version.\r\nAdditional information: the local version {0} of module '{1}' is smaller than version {2} in the database.","データベースのバージョンがアプリケーションのバージョンより新しいため、データベースのバージョンを更新する必要があります。システム管理者に連絡するか、新しいバージョンをダウンロードしてください。\r\n追記: モジュール '{1}' のローカル バージョン {0} は、データベースのバージョン {2} より古いバージョンです。","Localization\Exceptions\SystemExceptions\CompatibilityApplicationIsOldError",
"Value","The database version is older than the application version. The database needs to be updated.","データベースのバージョンはアプリケーションのバージョンより古いです。データベースを更新する必要があります。","Localization\Exceptions\SystemExceptions\CompatibilityDatabaseIsOldError",
"Value","Config file '{0}' doesn't exists","Config ファイル '{0}' が存在しません。","Localization\Exceptions\SystemExceptions\ConfigFileDoesNotExists",
"Value","The 'add\[@key=""Modules""]' node should contain module list, config file '{0}'","add\[@key=""Modules""]' ノードはモジュール リスト、Config ファイル '{0}' を含む必要があります。","Localization\Exceptions\SystemExceptions\ConfigFileHasNoModuleNames",
"Value","Unable to set '{0}' property. Current object is not set","{0}' プロパティを設定できません。現在のオブジェクトは設定されていません。","Localization\Exceptions\SystemExceptions\CurrentObjectIsNotSet",
"Value","To avoid this error it's necessary to assign the CustomizePopupWindowParamsEventArgs.View property when handling the CustomizePopupWindowParams event. To accomplish this, create a View using the XafApplication.CreateDetailView/CreateListView methods. Please refer to the product's documentation for more detailed information on these classes and methods. If this doesn't help, please contact our Support Team at http://www.devexpress.com/Support/Center/","このエラーを回避するには、まずは XafApplication.CreateDetailView/CreateListView メソッドを使ってビューを作成し、CustomizePopupWindowParams イベントを処理する際に CustomizePopupWindowParamsEventArgs.View プロパティを割り当てる必要があります。これらのクラスやメソッドの詳細については製品のドキュメンテーションを参照してください。または DevExpress サポート チームへご連絡ください：http://www.devexpress.com/Support/Center/","Localization\Exceptions\SystemExceptions\CustomizePopupWindowParamsEventArgsViewIsNull",
"Value","A dataLayer already exists: '{0}'","dataLayer は既に存在します: '{0}'","Localization\Exceptions\SystemExceptions\DataLayerAlreadyExists",
"Value","Dictionary path item parsing failed. There is a syntax error in expression '{0}'","辞書パス アイテムを解析できませんでした。式 '{0}' に構文エラーがあります。","Localization\Exceptions\SystemExceptions\DictionaryPathItemParsingFailed",
"Value","Dictionary path parsing failed. There is a syntax error in expression '{0}'","辞書パスを解析できませんでした。式 '{0}' に構文エラーがあります。","Localization\Exceptions\SystemExceptions\DictionaryPathParsingFailed",
"Value","Duplicate Component Identifier '{0}'","コンポーネント識別子 '{0}' が重複しています。","Localization\Exceptions\SystemExceptions\DuplicateComponentIdentifier",
"Value","Error occurs while adding the '{2}' custom property ('{0}' property type) to the '{1}' type: '{3}'","{1}' タイプに '{2}' カスタム プロパティ（'{0}' プロパティ タイプ）を追加する際にエラーが発生しました: '{3}'","Localization\Exceptions\SystemExceptions\ErrorOccursWhileAddingTheCustomProperty",
